Mercadoria,Vencimento,Preco_Anterior,Preco_Atual,Variacao,Valor_ajuste_contrato,Data_new
,F22 ,"5.497,1590","5.482,7080","-14,4510","722,55",2021-04-30
,G22 ,"5.517,1660","5.503,1960","-13,9700","698,50",2021-04-30
,H22 ,"5.539,5190","5.525,4560","-14,0630","703,15",2021-04-30
,J22 ,"5.564,9270","5.550,9510","-13,9760","698,80",2021-04-30
,N22 ,"5.644,0140","5.628,5200","-15,4940","774,70",2021-04-30
,V22 ,"5.734,5680","5.718,6560","-15,9120","795,60",2021-04-30
,F23 ,"5.823,0440","5.807,7820","-15,2620","763,10",2021-04-30
,J23 ,"5.923,1620","5.906,7470","-16,4150","820,75",2021-04-30
,N23 ,"6.028,1560","6.011,6590","-16,4970","824,85",2021-04-30
,V23 ,"6.139,8680","6.122,6170","-17,2510","862,55",2021-04-30
,F24 ,"6.240,8890","6.224,2430","-16,6460","832,30",2021-04-30
,J24 ,"6.350,4820","6.331,6710","-18,8110","940,55",2021-04-30
,N24 ,"6.461,1500","6.437,9270","-23,2230","1.161,15",2021-04-30
,F25 ,"6.688,7510","6.661,3920","-27,3590","1.367,95",2021-04-30
ETH   - Etanol Hidratado                                  ,J21 ,"2.735,00","2.723,50","-11,50","345,00",2021-04-30
,K21 ,"2.655,00","2.655,00","0,00","0,00",2021-04-30
,M21 ,"2.650,00","2.650,00","0,00","0,00",2021-04-30
,N21 ,"2.660,00","2.660,00","0,00","0,00",2021-04-30
,Q21 ,"2.725,00","2.722,50","-2,50","75,00",2021-04-30
,U21 ,"2.770,00","2.775,00","5,00","150,00",2021-04-30
,V21 ,"2.825,00","2.825,00","0,00","0,00",2021-04-30
,X21 ,"2.845,00","2.845,00","0,00","0,00",2021-04-30
,Z21 ,"2.855,00","2.865,00","10,00","300,00",2021-04-30
,F22 ,"2.895,00","2.905,00","10,00","300,00",2021-04-30
,G22 ,"2.895,00","2.912,50","17,50","525,00",2021-04-30
,H22 ,"2.860,00","2.860,00","0,00","0,00",2021-04-30
EUP   - EURO (TIPO B)                                     ,K21 ,"1.212,382","1.212,640","0,258","13,81",2021-04-30
